total no. of sims = 10 
sim duration = 50 
ana exec time = 1 
ana tot duration = 50 

pid, Interrupt, Started, Terminated, Done

4932, 8, 1460459699.88659, 1460459707.91055, None
4933, 1, 1460459699.88829, 1460459700.90225, None
4934, 2, 1460459699.88991, 1460459701.90353, None
4935, 5, 1460459699.89149, 1460459704.90702, None
4936, 9, 1460459699.89310, 1460459708.91170, None
4937, 4, 1460459699.89471, 1460459703.90586, None
4938, 10, 1460459699.89639, 1460459709.91279, None
4939, 7, 1460459699.89796, 1460459706.90936, None
4940, 6, 1460459699.89948, 1460459705.90820, None
4941, 3, 1460459699.90104, 1460459702.90470, None
