total no. of sims = 10 
sim duration = 50 
ana exec time = 50 
ana tot duration = 50 

pid, Interrupt, Started, Terminated, Done

4588, None, 1460458689.71504, None, 1460458789.83076
4589, None, 1460458689.71722, None, 1460458789.83086
4590, None, 1460458689.71893, None, 1460458789.83080
4591, None, 1460458689.72062, None, 1460458789.83090
4592, None, 1460458689.72223, None, 1460458789.83082
4593, None, 1460458689.72390, None, 1460458789.83088
4594, None, 1460458689.72553, None, 1460458789.83084
4595, None, 1460458689.72714, None, 1460458789.83090
4596, None, 1460458689.72873, None, 1460458789.83085
4597, None, 1460458689.73036, None, 1460458789.83088
