total no. of sims = 12 
sim duration = 5 
interrupt time period= 1 
interrupt_total_duration = 5 

pid, Interrupt, Started, Terminated, Done

unit.000009, 11, 1460753892.41455, 1460753892.92989, None
unit.000008, 13, 1460753892.41459, 1460753895.11958, None
unit.000010, 6, 1460753885.99723, 1460753887.62428, None
unit.000011, 14, 1460753892.50870, 1460753896.95622, None
unit.000001, None, 1460753897.24062, None, 1460753903.95802
unit.000000, 7, 1460753885.99737, 1460753888.72924, None
unit.000007, 5, 1460753885.99741, 1460753886.51883, None
unit.000006, None, 1460753897.24071, None, 1460753904.04953
unit.000005, 8, 1460753885.99750, 1460753889.83206, None
unit.000004, 15, 1460753897.24077, 1460753898.05661, None
unit.000003, 12, 1460753892.90486, 1460753894.02487, None
unit.000002, None, 1460753897.24083, None, 1460753903.86359

