total no. of sims = 10 
sim duration = 50 
interrupt min time = 5 
interrupt max time = 10 
interrupt min tasks = 1 
interrupt max tasks = 3 
interrupt_total_duration = 50 

pid, Interrupt, Started, Terminated, Done

7584, None, 1461356318.01752, None, 1461356368.01796
7585, None, 1461356323.02462, None, 1461356373.02521
7587, None, 1461356333.03405, None, 1461356383.03458
7568, 45, 1461356287.97272, 1461356333.03245, None
7569, None, 1461356287.97399, None, 1461356337.97457
7570, None, 1461356287.97541, None, 1461356337.97593
7571, None, 1461356287.97675, None, 1461356337.97722
7572, 22, 1461356287.97801, 1461356310.00395, None
7573, 13, 1461356287.97919, 1461356300.99403, None
7574, 30, 1461356287.98051, 1461356318.01603, None
7575, None, 1461356287.98171, None, 1461356337.98213
7576, 8, 1461356287.98290, 1461356295.98837, None
7577, 8, 1461356287.98408, 1461356295.98910, None
7578, None, 1461356295.98908, None, 1461356345.98946
7579, 35, 1461356295.98966, 1461356323.02276, None
7581, 30, 1461356300.99587, 1461356318.01409, None
7582, None, 1461356310.00584, None, 1461356360.00638
7583, None, 1461356318.01595, None, 1461356368.01663
