total no. of sims = 10 
sim duration = 50 
interrupt time period= 10 
interrupt_total_duration = 50 

pid, Interrupt, Started, Terminated, Done

5639, None, 1460912617.73498, None, 1460912667.77655
5640, None, 1460912627.74475, None, 1460912677.74529
5641, 50, 1460912637.75285, 1460912657.76748, None
5642, None, 1460912647.76406, None, 1460912697.76475
5643, None, 1460912657.76947, None, 1460912707.77003
5619, 30, 1460912607.71087, 1460912637.75094, None
5620, None, 1460912607.71224, None, 1460912667.77653
5621, None, 1460912607.71363, None, 1460912667.77656
5622, 40, 1460912607.71496, 1460912647.76265, None
5623, None, 1460912607.71624, None, 1460912667.77654
5624, None, 1460912607.71758, None, 1460912667.77657
5625, None, 1460912607.71890, None, 1460912667.77655
5626, 10, 1460912607.72019, 1460912617.73318, None
5627, None, 1460912607.72158, None, 1460912667.77656
5628, 20, 1460912607.72289, 1460912627.74286, None
