,uid,Unscheduled,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,StagingOutput,Canceled,Done
0,unit.000009,,14.248061895370483,14.248061895370483,23.448628902435303,23.44906783103943,23.45377779006958,23.454389810562134,23.46313786506653,,,,41.66936492919922,
1,unit.000000,,14.433266878128052,14.433266878128052,23.45080590248108,23.45126700401306,23.456117868423462,23.456707000732422,23.46878695487976,,,,51.69407391548157,
2,unit.000007,,14.43261981010437,14.43261981010437,23.452618837356567,23.4532368183136,23.45834493637085,23.459147930145264,23.47407293319702,,,,71.74799489974976,
3,unit.000002,,14.618402004241943,14.618402004241943,23.4550199508667,23.45560884475708,23.460832834243774,41.67863988876343,41.68071389198303,,,,61.72121500968933,
4,unit.000001,,14.619293928146362,14.619293928146362,23.457172870635986,23.45770287513733,23.462262868881226,51.697486877441406,51.69844388961792,,,,81.77327394485474,
5,unit.000008,,14.991492986679077,14.991492986679077,23.463835954666138,23.464507818222046,23.466460943222046,73.55696487426758,73.55800700187683,,,,111.75304698944092,
6,unit.000005,,14.99220585823059,14.99220585823059,23.465771913528442,23.46616291999817,23.467602968215942,81.78233289718628,81.78395700454712,,,,91.69737100601196,
7,unit.000004,,14.246878862380981,14.246878862380981,23.446249961853027,23.446873903274536,23.450989961624146,23.451775789260864,23.455347776412964,73.55250477790833,73.55471396446228,74.65894079208374,,74.7520649433136
8,unit.000006,,14.805051803588867,14.805051803588867,23.459579944610596,23.460067987442017,23.46358895301819,61.730238914489746,61.732422828674316,111.751779794693,111.75442385673523,112.92210483551025,,113.0148868560791
9,unit.000003,,14.805847883224487,14.805847883224487,23.461466789245605,23.462068796157837,23.46484684944153,71.75496578216553,71.756502866745,121.77818179130554,121.78042888641357,122.94726991653442,,123.04080700874329
